PCA 1,PCA 2,Cluster
-1.9078700128935928,-0.039609704433680316,0
-1.9829351643057014,0.028670926720988983,0
-1.8821417197999923,0.006650260073100159,0
-1.4889558590479848,-0.10905206989839762,0
-1.6309987551201195,0.005498374999096817,0
-1.6741154692566487,0.0131262542504531,0
-1.7203702989511223,0.05193296068594915,0
-1.6322723973389976,-0.01941511220887701,0
-1.4881015962383815,-0.16589602817673457,0
-1.3193036389936628,-0.3448503046100364,0
-1.0677225673338477,-0.45701815935916645,0
-0.9015481223662952,-0.6856718338072192,0
-0.8166429091019537,-0.8131679093657942,0
-0.6915838352358272,-0.7770324711937716,0
-0.7560871023409763,-0.7802325161893158,0
-0.8495031551853922,-0.7264161539075384,0
-0.8799207567635794,-0.6312815573412401,0
-1.1471558424525898,-0.6558419625164845,0
-1.4557822257633168,-0.5307020771737007,0
-1.6686905404965153,-0.5119522406893733,0
-1.942876811439239,-0.6449753984418671,0
-2.163296393556089,-0.7457111838427993,0
-2.3719673087490976,-0.8029138830437477,0
-2.6843845117594967,-0.9543931506948137,0
-2.9269456759532217,-1.0610881763393696,0
-3.223027887227761,-1.169377217791598,0
-3.2835465315927483,-1.0879684390712356,0
-3.414620937873166,-0.9341388948219683,0
-3.1636240541975384,-0.9591241341865059,0
-2.988805643959758,-0.6982083600232789,0
-2.7650901573418314,-0.501698236583377,0
-2.536404503004194,-0.3199594068406312,0
-2.236736096572798,-0.23235711814935653,0
-1.732579051965101,-0.3034509571696497,0
-1.6630955380508115,-0.15405932417217905,0
-1.2967657868457292,-0.20677665174474774,0
-0.9798418936853773,-0.18305719540567206,0
-0.6531739876183423,-0.17833109549597323,0
-0.5531130721071862,-0.10013746560822556,0
-0.5125556896223611,0.04456981429915905,1
-0.4773829030955518,0.110130474233157,1
-1.037925473221412,-0.15833657604306928,0
-1.5233784403403654,-0.3128139952463145,0
-2.1958427570676435,-0.5430556498034151,0
-2.6245164113906947,-0.45200772931650035,0
-2.9196482424931944,-0.45583928369179133,0
-3.348349708215399,-0.3647272826138912,0
-3.8113772826206773,-0.5316323514298325,0
-4.274237084632368,-0.697781485097641,0
-4.737264659037646,-0.8646865539135823,0
-4.8992461393804305,-0.8548832733219275,0
-5.103747864345831,-0.876424880955384,0
-5.31680288254498,-0.8985506621968004,0
-4.866063603063333,-0.6537981439855177,0
-4.363359210660976,-0.3708902872039861,0
-3.834316404331242,-0.23646977363429017,0
-2.94423280987612,-0.10859656482071642,0
-2.085744421575407,-0.02317043008286275,0
-1.1431489314839607,0.032389948510099756,0
-0.5301179772671332,-0.18685584681083278,0
0.05719996762734278,-0.36793344822331997,1
0.5785083224953358,-0.44104210753622886,1
0.30841117227195286,-0.3337387184634913,1
0.06467521468547109,-0.18618611933394905,1
-0.2053941241387589,-0.07894681085219674,1
-0.710847984164832,-0.08430637015527467,0
-1.2398934533186416,0.02794178195163306,0
-1.7315049108175797,0.0032220501782485415,0
-1.9589181507818274,-0.033548960457747315,0
-2.1799764710967846,-0.06994016794903053,0
-2.44787407948971,-0.16938159271490444,0
-2.6286830050362266,-0.2140730012516855,0
-2.8012032372337456,-0.2588403004623753,0
-2.9801468003369043,-0.30416879892780857,0
-2.83174019423318,-0.08720716400086415,0
-2.734220081988796,0.09640339826100267,0
-2.575224306457384,0.28262368089113993,0
-2.4149033310871992,0.30307455741997696,0
-2.203244737204548,0.3610426366431901,0
-1.9646202349862791,0.27116150853044074,0
-1.3490041477763628,0.2853944073213237,0
-0.5294156949477896,-0.0013622239030461744,1
0.047553574877653146,-0.05037274857970808,1
0.6283704664136233,-0.48970720134315376,2
1.014240673111982,-0.641422728576869,2
1.412192994524678,-0.8238189183837448,2
1.03996931325768,-0.6360172219306865,2
0.636796210304836,-0.4084754930983964,1
0.2612636731400854,-0.23192681528986858,1
-0.1698804112084207,-0.018355617922343498,1
-0.6513928900351542,0.38232144748294,1
-0.9848454448022397,0.5805493597614503,1
-0.7720550098247998,0.5750097257928355,1
-0.5077591263754927,0.6013454349760177,1
-0.30369249838238405,0.6259100633755582,1
-0.47963366712991684,0.6479100908542031,1
-0.6635591503189889,0.6706077923046494,1
-0.8481963146517,0.7226480015604643,1
-0.8977605613339547,0.7009421750538731,1
-0.9572804308048977,0.6854068996484048,1
-0.9760678678579425,0.7507826960591255,1
-0.8617403174740781,1.0587944946041588,1
-0.8837958964750076,1.0720973304621457,1
-0.8850414761819412,0.7988737307379897,1
-0.8698298200091944,0.5219009749673839,1
-0.8334124777495773,0.28525382737528904,0
-0.6239171524643088,0.3054298684063767,1
-0.5739277080995745,0.019677340400609554,0
-0.43463306534194435,-0.019286382259326273,1
-0.39679192209447733,0.04734075401897565,1
-0.446143221658845,-0.1660809044170439,0
-0.4088719447885155,-0.11567786210800775,0
-0.43072601818484957,-0.2243628394642656,0
-0.775974348396031,-0.028551590527217334,0
-1.249487362603266,0.22520052073552332,0
-1.5837788161586803,0.40684353745386537,0
-1.5827695082844968,0.41850654367558277,0
-1.5989752316988766,0.5305126145706985,0
-1.6356289893940292,0.48462525090559216,0
-1.6462494712843605,0.3664891512394603,0
-1.6326793466899,0.29346083268048495,0
-1.6288023878885753,0.21908796855085733,0
-1.5973208300581023,0.2668194644939605,0
-1.5555779623122212,0.31420667641598,0
-1.473022866625383,0.3938672341921539,0
-1.5128234581202298,0.40588327424134046,0
-1.5126693421219242,0.48096946909776417,0
-1.418369791996749,0.408817616749168,0
-0.8212806642014921,-0.10685750346292147,0
-0.15224568651882078,-0.6169065883778219,0
0.5195747037565831,-1.0859974409296151,2
1.0298057260610278,-1.5438996085718135,2
1.7821919170379394,-2.3385594168319446,2
2.1868301260672625,-2.6309001954048274,2
1.9287040410459084,-2.2860089446193617,2
1.682884362925948,-1.9605977816241789,2
1.4309197126001252,-1.7257133724816618,2
0.028769138147436663,-1.7774493091994825,2
-1.5847537273216858,-1.527929817915174,0
-2.9985289158390067,-1.6171291148107543,0
-3.359368391346743,-1.5237316492251416,0
-3.7246885965228835,-1.4048328730277388,0
